Zipcode,Year,MedPrice,MedPrice_IA,PercentChngPrice,PercentChngPriceIA,Source
94002,1997,"406,317","723,341",0,0,Zillow
94002,1998,"466,617","805,091",0.15,0.11,Zillow
94002,1999,"524,475","868,198",0.29,0.2,Zillow
94002,2000,"650,458","1,030,736",0.6,0.42,Zillow
94002,2001,"686,650","1,032,508",0.69,0.43,Zillow
94002,2002,"673,983","997,183",0.66,0.38,Zillow
94002,2003,"697,000","1,013,384",0.72,0.4,Zillow
94002,2004,"808,783","1,161,713",0.99,0.61,Zillow
94002,2005,"919,192","1,294,897",1.26,0.79,Zillow
94002,2006,"921,500","1,257,814",1.27,0.74,Zillow
94002,2007,"944,950","1,249,217",1.33,0.73,Zillow
94002,2008,"896,725","1,149,283",1.21,0.59,Zillow
94002,2009,"835,600","1,063,307",1.06,0.47,Zillow
94002,2010,"827,375","1,038,494",1.04,0.44,Zillow
94002,2011,"814,542","996,541",1,0.38,Zillow
94002,2012,"872,583","1,039,494",1.15,0.44,Zillow
94002,2013,"1,056,992","1,231,937",1.6,0.7,Zillow
94002,2014,"1,223,292","1,386,239",2.01,0.92,Zillow
94002,2015,"1,431,392","1,580,738",2.52,1.19,Zillow
94002,2016,"1,547,067","1,658,628",2.81,1.29,Zillow
94002,2017,"1,627,225","1,690,121",3,1.34,Zillow
94002,2018,"1,773,683","1,773,683",3.37,1.45,Zillow
94005,1997,"236,483","420,997",0,0,Zillow
94005,1998,"269,850","465,594",0.14,0.11,Zillow
94005,1999,"319,067","528,172",0.35,0.25,Zillow
94005,2000,"383,917","608,366",0.62,0.45,Zillow
94005,2001,"415,133","624,231",0.76,0.48,Zillow
94005,2002,"452,017","668,775",0.91,0.59,Zillow
94005,2003,"492,400","715,912",1.08,0.7,Zillow
94005,2004,"566,192","813,261",1.39,0.93,Zillow
94005,2005,"671,208","945,554",1.84,1.25,Zillow
94005,2006,"707,100","965,166",1.99,1.29,Zillow
94005,2007,"698,925","923,974",1.96,1.19,Zillow
94005,2008,"630,675","808,301",1.67,0.92,Zillow
94005,2009,"535,333","681,215",1.26,0.62,Zillow
94005,2010,"495,267","621,642",1.09,0.48,Zillow
94005,2011,"456,333","558,296",0.93,0.33,Zillow
94005,2012,"478,800","570,386",1.02,0.35,Zillow
94005,2013,"590,950","688,759",1.5,0.64,Zillow
94005,2014,"656,100","743,495",1.77,0.77,Zillow
94005,2015,"749,558","827,765",2.17,0.97,Zillow
94005,2016,"808,242","866,525",2.42,1.06,Zillow
94005,2017,"863,225","896,591",2.65,1.13,Zillow
94005,2018,"940,950","940,950",2.98,1.24,Zillow
94010,1997,"608,908","1,084,003",0,0,Zillow
